source_log,phase,fold,epoch,total_epochs,steps,epoch_seconds,ms_per_step,auc,hard_accuracy,loss,precision,recall,val_auc,val_hard_accuracy,val_loss,val_precision,val_recall,learning_rate
phase1-fold1-2.txt,phase1_cv,1,51,100,969,247,255,0.9684,0.9906,0.0065,0.9977,0.8896,0.9893,0.9528,0.0203,0.9691,0.9358,0.00030935
phase1-fold1-2.txt,phase1_cv,1,52,100,969,247,254,0.9686,0.9915,0.0063,0.9978,0.8919,0.9884,0.9502,0.0208,0.9634,0.9365,0.00027373
phase1-fold1-2.txt,phase1_cv,1,53,100,969,246,253,0.969,0.9913,0.0063,0.998,0.8899,0.9911,0.9527,0.0211,0.9782,0.9264,0.00023951
phase1-fold1-2.txt,phase1_cv,1,54,100,969,247,255,0.9687,0.9917,0.0062,0.9979,0.8904,0.9908,0.9543,0.0212,0.9767,0.9311,0.0002069
phase1-fold1-2.txt,phase1_cv,1,55,100,969,244,252,0.9697,0.9915,0.0062,0.998,0.8915,0.9897,0.9554,0.0202,0.9726,0.9375,0.0001761
phase1-fold1-2.txt,phase1_cv,1,56,100,969,245,253,0.9688,0.9918,0.0061,0.998,0.8897,0.9901,0.9543,0.0192,0.9736,0.9343,0.0001473
phase1-fold1-2.txt,phase1_cv,1,57,100,969,243,251,0.9691,0.9919,0.006,0.9981,0.8905,0.9908,0.9565,0.0201,0.9775,0.935,0.00012068
phase1-fold1-2.txt,phase1_cv,1,58,100,969,242,249,0.9687,0.9919,0.006,0.9981,0.8907,0.9906,0.957,0.0197,0.9748,0.9386,9.6396e-05
phase1-fold1-2.txt,phase1_cv,1,59,100,969,246,254,0.9692,0.992,0.006,0.9984,0.8904,0.9893,0.9531,0.0212,0.972,0.9335,7.4606e-05
phase1-fold1-2.txt,phase1_cv,1,60,100,969,242,250,0.9684,0.9921,0.0059,0.9982,0.89,0.9903,0.9547,0.02,0.9746,0.9341,5.5442e-05
phase1-fold1-2.txt,phase1_cv,1,61,100,969,243,251,0.969,0.9924,0.0059,0.9984,0.8917,0.99,0.9539,0.0203,0.9729,0.9341,3.9022e-05
phase1-fold1-2.txt,phase1_cv,1,62,100,969,246,254,0.9687,0.9922,0.0058,0.9982,0.8891,0.9899,0.9525,0.0202,0.972,0.9322,2.5447e-05
phase1-fold1-2.txt,phase1_cv,2,1,100,985,393,385,0.6025,0.5871,0.1367,0.6504,0.5306,0.9403,0.8258,0.0541,0.9407,0.6926,1e-06
phase1-fold1-2.txt,phase1_cv,2,2,100,985,303,307,0.8751,0.8351,0.0565,0.8802,0.7656,0.9737,0.9257,0.0315,0.9516,0.8958,0.0002008
phase1-fold1-2.txt,phase1_cv,2,3,100,985,303,308,0.9188,0.8894,0.0402,0.928,0.8109,0.9742,0.9144,0.0383,0.9646,0.859,0.0004006
phase1-fold1-2.txt,phase1_cv,2,4,100,985,308,312,0.9335,0.9123,0.0331,0.9453,0.8277,0.9766,0.9053,0.0334,0.9627,0.8417,0.0006004
phase1-fold1-2.txt,phase1_cv,2,5,100,985,296,301,0.9416,0.9267,0.0285,0.9548,0.8372,0.9762,0.8879,0.033,0.9669,0.8017,0.0008002
phase1-fold1-2.txt,phase1_cv,2,6,100,985,299,303,0.9485,0.9382,0.0246,0.9632,0.8481,0.9636,0.8609,0.0389,0.9385,0.7701,0.001
phase1-fold1-2.txt,phase1_cv,2,7,100,985,291,296,0.9536,0.9495,0.0211,0.9699,0.8582,0.9245,0.8238,0.0481,0.8714,0.7565,0.00099385
phase1-fold1-2.txt,phase1_cv,2,8,100,985,292,297,0.9566,0.957,0.0186,0.9761,0.8641,0.9509,0.8682,0.0452,0.9398,0.7846,0.00097555
phase1-fold1-2.txt,phase1_cv,2,9,100,985,289,293,0.9591,0.9627,0.0166,0.9793,0.8701,0.9572,0.8851,0.0479,0.9472,0.8138,0.00094556
phase1-fold1-2.txt,phase1_cv,2,10,100,985,287,291,0.9601,0.9666,0.0155,0.9823,0.8716,0.9716,0.8805,0.0385,0.9541,0.7976,0.0009046
phase1-fold1-2.txt,phase1_cv,2,11,100,985,285,289,0.961,0.9703,0.0144,0.985,0.8751,0.9551,0.8564,0.0459,0.9383,0.7608,0.0008537
phase1-fold1-2.txt,phase1_cv,2,12,100,985,286,290,0.9619,0.9734,0.0132,0.9872,0.8773,0.9635,0.8626,0.0454,0.9485,0.7646,0.0007941
phase1-fold1-2.txt,phase1_cv,2,13,100,985,283,288,0.9634,0.975,0.0125,0.9882,0.88,0.9615,0.8075,0.0681,0.9536,0.6434,0.00072727
phase1-fold1-2.txt,phase1_cv,2,14,100,985,283,287,0.9631,0.9769,0.012,0.9896,0.88,0.9498,0.7966,0.0611,0.9471,0.6251,0.00065485
phase1-fold1-2.txt,phase1_cv,2,15,100,985,291,295,0.9642,0.979,0.0112,0.9911,0.8816,0.9606,0.8409,0.0481,0.9379,0.7275,0.00057864
phase1-fold1-2.txt,phase1_cv,2,16,100,985,284,288,0.9639,0.9808,0.0106,0.9919,0.8831,0.9545,0.8549,0.0484,0.9298,0.7652,0.0005005
phase1-fold1-2.txt,phase1_cv,2,17,100,985,282,287,0.9646,0.9816,0.0103,0.9926,0.8837,0.9657,0.835,0.0546,0.9547,0.7007,0.00042236
phase1-fold1-2.txt,phase1_cv,2,18,100,985,280,284,0.9652,0.9823,0.0099,0.9931,0.8848,0.9587,0.8256,0.0604,0.9442,0.6892,0.00034615
phase1-fold1-2.txt,phase1_cv,2,19,100,985,279,283,0.9661,0.9833,0.0096,0.9941,0.8851,0.9395,0.8109,0.0572,0.9095,0.6873,0.00027373
phase1-fold1-2.txt,phase1_cv,2,20,100,985,285,289,0.9651,0.984,0.0093,0.994,0.8838,0.9519,0.8088,0.0738,0.9351,0.6604,0.0002069
phase1-fold1-2.txt,phase1_cv,2,21,100,985,280,284,0.9658,0.985,0.0089,0.9946,0.8863,0.9479,0.7762,0.0946,0.9551,0.5761,0.0001473
